	allentownpa	anstedwv	syracuseny	stalbanscityvt	athensga	daytonoh	tampafl	camdennj	summersvillewv	leominsterma	lawrenceburgky	newyorkcityny	virginiabeachva	keenenh	fortlauderdalefl	detroitmi	rutlandvt	milfordde	sumtersc	toledooh	fredericksburgva	charlottenc	stamfordct	danburyct	brunswickme	southbendin	ashevillenc	jacksonvillefl	atlanticcitynj	greensboronc	watervilleme	rochesternh	westerlyri	cincinnatioh	columbiasc	lagrangeky	providenceri	lexingtonky	scrantonpa	owossomi	savannahga	rochesterny	fredericksonwa	woonsocketri	wilmingtonnc	trentonnj	northkingstownri	wilmingtonde	statecollegepa	baltimoremd	raleighnc	atlantaga	clevelandoh	cynthianaky	durhamnc	spartanburgsc	indianapolisin	oceancitymd	williamsburgva	augustame	charlestonwv	fortwaynein	grandrapidsmi	newarkde	lewistonme	pepperellma	louisvilleky	concordnh	frankfordde	buffalony	hagerstownmd	annapoliswa	evansvillein	frankfortky	washingtondcwa	miamifl	hartfordct	middletownde	newhavenct	columbusga	nashuanh	columbusoh	elizabethnj	newportri	fitchburgma	orlandofl	amherstma	augustaga	towsonmd	portsmouthnh	portlandme	hamptonva	viennawv	myrtlebeachsc	montpeliervt	doverde	waterburyct	pittsburghpa	burlingtonvt	cadillacmi	greenvillesc	newarknj	martinsburgswv	philadelphiapa	akronoh	keywestfl	newbrunswicknj	chicopeema	rockvillemd	annarbormi	traversecitymi	westspringfieldma	troyny	barrevt	manchesternh	silverspringmd	cooperstownny	clemsonsc	lafayettein	alexandriava	bridgeportct	winooskivt	eriepa	richmondva	bluefieldwv	warwickri	bangorme	bloomingtonin	maconga	
lawrenceburgky	650.09	253.49	683.05	931.44	416.32	153.81	849.54	672.05	293.67	940.79	0.0	736.56	627.62	910.16	1033.43	368.27	889.8	653.26	499.95	301.92	518.11	412.58	783.31	802.63	1080.44	307.3	298.0	728.96	722.7	450.46	1128.89	1023.48	883.87	100.96	445.92	46.64	923.58	24.21	680.61	424.32	598.59	607.61	2430.79	937.68	653.31	685.48	911.45	640.05	541.97	569.77	524.63	394.38	349.33	52.98	501.71	355.92	164.88	703.49	571.98	1110.02	207.22	286.12	419.86	627.81	1085.57	955.8	53.37	960.09	677.14	542.7	498.7	2451.57	171.83	13.47	563.97	1056.28	857.67	641.66	824.2	498.4	974.42	207.54	728.48	922.28	944.78	832.42	918.9	470.31	573.14	1004.61	1055.84	597.61	258.09	593.79	956.36	650.8	828.86	389.92	904.71	514.4	350.55	726.3	511.37	671.12	332.89	1213.84	713.98	905.3	547.45	355.51	561.87	902.93	826.62	954.39	990.2	558.8	770.05	377.14	227.69	546.59	804.54	907.74	446.12	522.64	312.88	917.24	1183.52	155.33	477.42	
newyorkcityny	92.88	521.98	246.59	327.83	813.2	605.94	1132.12	96.29	499.64	198.82	736.56	0.0	364.99	212.63	1262.59	614.31	242.06	185.48	669.34	558.56	278.46	624.98	40.7	68.94	338.73	700.97	690.96	935.66	125.8	535.65	391.33	282.36	141.26	639.13	704.64	714.71	180.97	705.59	120.38	681.39	800.48	332.66	2876.86	195.07	589.89	66.07	168.84	125.62	236.14	191.48	504.3	864.33	462.54	707.22	484.15	693.75	710.09	236.39	379.29	368.45	531.61	648.7	745.21	131.37	345.73	213.83	738.29	264.27	216.64	372.83	242.49	2897.65	856.83	727.52	224.76	1287.49	116.55	144.45	81.59	972.22	233.31	535.69	14.95	179.67	202.81	1077.25	166.54	776.43	186.59	263.49	313.85	404.28	493.88	656.88	314.71	168.36	91.94	371.3	300.37	804.24	721.84	11.36	261.69	93.93	437.71	1439.29	36.36	145.77	226.35	612.58	852.2	143.49	157.49	312.74	249.08	220.72	198.51	753.52	762.77	232.27	61.93	303.4	431.86	335.31	557.99	174.63	442.72	759.79	896.55	
virginiabeachva	325.1	365.64	517.94	678.9	530.04	613.8	826.46	277.31	366.48	561.5	627.62	364.99	0.0	574.9	957.88	722.81	593.13	177.34	366.84	669.28	158.08	343.95	402.19	428.12	701.15	811.69	423.9	630.95	236.63	253.28	749.59	644.63	502.75	619.41	402.13	660.96	542.46	596.65	386.0	789.9	497.98	590.77	2987.58	556.57	254.47	306.03	530.33	245.32	421.09	254.13	202.0	581.17	573.26	598.28	201.96	410.6	731.13	140.77	59.32	730.73	421.68	740.52	853.71	243.7	706.28	576.51	667.7	626.54	146.43	581.03	272.61	3008.36	786.16	618.58	208.76	982.78	478.82	222.42	443.08	689.06	595.57	582.41	349.62	541.16	565.48	771.59	529.21	473.92	268.31	625.75	676.55	30.38	508.27	354.37	677.38	191.89	454.35	445.68	651.44	912.74	438.69	354.45	260.65	276.39	550.49	1133.63	333.93	508.45	221.56	721.09	960.7	506.16	510.13	675.41	611.34	223.3	526.28	470.36	791.93	203.66	423.42	654.47	568.19	106.67	391.34	536.12	804.22	769.66	594.04	
keenenh	317.05	746.14	238.27	175.43	1029.63	772.29	1340.87	312.73	723.8	45.17	910.16	212.63	574.9	0.0	1471.34	633.68	71.57	401.92	885.78	680.24	491.74	838.67	179.44	160.41	181.34	820.88	908.32	1144.41	342.24	748.0	229.78	88.38	136.89	809.26	921.08	884.82	105.54	891.99	298.57	678.83	1016.92	318.98	2996.77	93.07	802.8	282.51	128.54	342.06	444.9	407.92	716.4	1080.77	566.6	864.62	696.68	910.19	875.82	452.83	591.75	210.92	755.78	768.61	763.62	347.81	186.47	45.91	909.11	51.21	433.08	381.94	466.66	3017.56	1026.36	888.46	441.2	1496.24	103.29	360.89	141.1	1188.65	48.64	702.4	233.07	138.67	37.86	1286.0	44.96	992.87	403.03	106.12	156.74	617.38	718.05	873.32	114.38	384.8	133.22	578.07	150.4	792.46	938.28	228.08	485.86	310.37	588.95	1648.04	252.8	70.41	442.79	676.19	840.42	69.89	91.97	112.41	64.82	437.16	167.01	969.96	882.68	445.08	157.19	151.0	469.13	547.31	782.15	117.07	284.42	925.52	1112.99	
fortlauderdalefl	1221.55	944.94	1399.36	1571.68	656.21	1152.87	263.47	1173.75	961.29	1457.93	1033.43	1262.59	957.88	1471.34	0.0	1362.59	1485.9	1130.68	606.95	1300.98	983.9	710.17	1298.63	1324.56	1597.43	1314.89	769.05	326.48	1224.41	775.07	1647.47	1541.07	1399.2	1100.02	617.55	1082.82	1438.9	1021.33	1267.89	1418.63	466.11	1419.77	3294.51	1453.01	763.72	1202.47	1426.77	1141.76	1245.04	1078.08	781.41	639.78	1222.74	1048.23	805.82	703.88	1172.46	1079.49	966.35	1627.16	972.6	1277.75	1429.59	1129.51	1604.43	1476.04	1059.2	1522.98	1085.15	1368.65	1096.55	3315.29	1036.09	1046.05	1032.7	28.9	1375.26	1130.86	1339.52	584.97	1492.01	1133.34	1246.07	1437.6	1463.68	211.99	1425.32	582.56	1092.25	1522.19	1572.55	950.82	1059.19	684.47	1570.16	1128.22	1350.79	1156.41	1544.22	1524.13	714.21	1250.89	1094.87	1172.83	1187.29	189.31	1230.37	1405.13	1045.51	1349.82	1571.6	1402.63	1404.96	1568.19	1507.79	1047.24	1408.66	741.67	1235.28	1028.02	1319.86	1547.25	1277.16	926.3	878.95	1432.56	1701.43	1154.17	563.43	
detroitmi	555.49	411.54	401.05	618.73	744.37	209.42	1178.1	588.08	447.82	690.78	368.27	614.31	722.81	633.68	1362.59	0.0	605.53	609.98	737.82	58.57	566.9	629.03	651.98	659.76	830.29	218.39	625.74	1010.59	645.71	608.21	809.46	773.92	752.54	262.93	719.96	337.64	700.92	344.45	527.12	92.18	879.0	325.75	2368.46	688.46	811.65	603.25	723.93	576.67	395.17	526.49	682.9	722.43	168.83	319.69	660.79	683.97	286.46	660.21	667.74	862.57	365.27	162.57	156.99	558.73	837.28	708.9	361.22	683.61	633.87	255.77	455.42	2389.24	454.31	340.96	520.69	1386.12	649.25	598.38	692.87	826.45	724.86	202.81	613.77	734.05	695.59	1159.94	636.83	792.04	529.86	755.05	805.4	692.72	328.65	792.11	682.88	607.53	686.0	285.75	647.56	207.46	678.6	604.41	468.09	584.07	192.33	1542.24	615.66	622.79	504.18	42.99	255.44	621.6	544.58	689.64	740.64	515.52	488.35	705.19	276.65	528.69	673.21	644.11	270.68	623.75	470.93	712.46	851.52	336.1	805.47	
rutlandvt	305.92	735.01	213.05	93.97	1043.16	746.59	1357.08	324.43	712.67	116.19	889.8	242.06	593.13	71.57	1485.9	605.53	0.0	413.61	897.48	653.39	506.6	857.15	233.43	194.06	236.52	795.8	903.99	1160.2	352.84	763.78	286.55	143.88	214.6	783.57	932.77	859.16	177.16	865.97	289.14	650.69	1028.62	293.24	2971.69	164.7	818.03	294.21	200.17	353.75	410.51	419.62	732.43	1094.29	540.92	838.71	712.27	923.71	850.74	464.53	607.43	266.24	744.65	743.52	735.48	359.51	243.52	119.3	882.74	106.44	444.77	358.7	455.53	2992.47	1001.27	862.49	452.89	1506.67	157.28	372.59	195.09	1202.18	137.34	677.26	246.0	210.29	109.35	1300.24	113.36	1004.57	414.72	161.28	211.64	632.41	700.18	885.01	66.56	396.49	187.21	565.97	66.58	764.32	951.8	238.08	474.73	322.07	563.18	1665.9	267.81	130.82	454.49	648.04	812.28	130.83	85.23	64.59	121.1	448.85	148.32	983.48	857.6	460.4	211.18	69.54	444.05	563.44	771.02	188.7	340.51	900.44	1124.69	
milfordde	147.89	414.32	338.43	499.39	684.57	558.22	1000.21	100.62	415.32	381.98	653.26	185.48	177.34	401.92	1130.68	609.98	413.61	0.0	540.84	555.49	151.08	498.01	225.5	251.42	521.64	697.1	577.96	803.75	151.27	407.34	570.08	465.11	326.06	591.36	576.67	666.93	365.77	621.45	209.29	677.07	671.86	424.5	2872.85	379.87	462.14	129.33	353.64	68.51	231.03	95.98	375.74	735.7	457.11	623.32	356.02	566.64	661.94	51.02	215.04	551.22	447.29	644.87	740.88	66.59	526.76	397.0	693.41	448.18	31.27	459.16	157.88	2893.64	814.84	643.74	95.29	1155.58	302.12	43.48	266.39	843.59	416.56	487.43	172.93	364.46	385.97	945.34	349.7	647.8	122.23	446.42	497.04	185.42	409.57	529.94	497.87	19.76	277.65	330.85	471.93	799.91	594.49	177.76	177.58	99.74	434.04	1307.38	157.23	328.94	107.08	608.26	847.88	326.65	330.61	495.9	435.77	98.16	346.77	625.16	722.51	104.41	246.73	474.96	453.46	206.65	440.02	359.43	624.71	711.71	767.93	
sumtersc	631.76	345.66	808.02	983.25	217.87	565.32	476.48	583.92	362.0	865.85	499.95	669.34	366.84	885.78	606.95	737.82	897.48	540.84	0.0	677.23	393.06	110.7	708.8	734.72	1005.5	810.17	213.07	280.03	634.57	172.07	1053.94	948.98	809.36	566.26	44.54	553.75	849.07	487.96	676.78	793.86	148.74	825.75	2896.89	863.17	173.53	612.63	836.93	551.92	649.06	488.24	191.49	268.35	624.09	517.99	215.86	141.23	672.6	489.65	375.68	1035.08	373.32	692.25	857.67	539.68	1010.63	880.86	562.29	932.05	495.31	768.38	506.71	2917.67	646.02	512.62	442.87	631.86	785.42	541.02	749.69	370.54	900.43	534.45	656.23	847.76	869.83	421.62	833.56	130.27	502.41	930.28	980.9	361.93	459.91	94.62	981.73	538.39	760.95	556.2	955.79	916.7	157.55	661.05	494.76	583.6	587.68	783.65	640.53	812.8	455.67	725.05	964.67	810.51	814.47	979.76	919.63	457.4	816.36	179.02	735.75	438.64	730.03	958.82	677.35	335.42	279.66	842.72	1108.57	663.18	250.39	
toledooh	501.0	350.95	446.64	674.24	683.78	148.83	1117.1	533.59	387.23	735.98	301.92	558.56	669.28	680.24	1300.98	58.57	653.39	555.49	677.23	0.0	513.63	564.38	597.49	605.27	875.63	155.51	565.55	945.95	591.22	544.78	924.08	820.48	698.05	202.31	659.37	276.58	737.76	283.75	472.63	122.74	818.42	371.21	2331.4	735.02	747.64	548.76	725.63	522.18	340.68	472.0	618.95	661.84	114.34	258.76	596.03	623.38	225.87	605.72	613.63	905.21	304.68	101.98	186.56	504.24	880.76	750.99	300.87	730.17	579.38	306.29	400.93	2352.18	393.72	280.22	466.2	1323.83	661.43	543.89	638.38	765.86	771.43	141.49	559.28	736.46	739.97	1099.98	682.5	731.45	475.37	801.61	851.04	639.27	274.16	731.52	719.95	553.04	631.5	231.26	668.31	245.59	618.01	549.92	413.6	529.58	137.84	1481.4	561.17	668.89	449.69	53.94	293.55	666.53	590.21	717.98	787.2	461.03	533.64	644.6	216.06	481.11	618.72	671.34	216.19	569.19	410.34	731.42	978.71	275.51	744.88	
