	allentownpa	anstedwv	syracuseny	stalbanscityvt	athensga	daytonoh	tampafl	camdennj	summersvillewv	leominsterma	lawrenceburgky	newyorkcityny	virginiabeachva	keenenh	fortlauderdalefl	detroitmi	rutlandvt	milfordde	sumtersc	toledooh	fredericksburgva	charlottenc	stamfordct	danburyct	brunswickme	southbendin	ashevillenc	jacksonvillefl	atlanticcitynj	greensboronc	watervilleme	rochesternh	westerlyri	cincinnatioh	columbiasc	lagrangeky	providenceri	lexingtonky	scrantonpa	owossomi	savannahga	rochesterny	fredericksonwa	woonsocketri	wilmingtonnc	trentonnj	northkingstownri	wilmingtonde	statecollegepa	baltimoremd	raleighnc	atlantaga	clevelandoh	cynthianaky	durhamnc	spartanburgsc	indianapolisin	oceancitymd	williamsburgva	augustame	charlestonwv	fortwaynein	grandrapidsmi	newarkde	lewistonme	pepperellma	louisvilleky	concordnh	frankfordde	buffalony	hagerstownmd	annapoliswa	evansvillein	frankfortky	washingtondcwa	miamifl	hartfordct	middletownde	newhavenct	columbusga	nashuanh	columbusoh	elizabethnj	newportri	fitchburgma	orlandofl	amherstma	augustaga	towsonmd	portsmouthnh	portlandme	hamptonva	viennawv	myrtlebeachsc	montpeliervt	doverde	waterburyct	pittsburghpa	burlingtonvt	cadillacmi	greenvillesc	newarknj	martinsburgswv	philadelphiapa	akronoh	keywestfl	newbrunswicknj	chicopeema	rockvillemd	annarbormi	traversecitymi	westspringfieldma	troyny	barrevt	manchesternh	silverspringmd	cooperstownny	clemsonsc	lafayettein	alexandriava	bridgeportct	winooskivt	eriepa	richmondva	bluefieldwv	warwickri	bangorme	bloomingtonin	maconga	
wilmingtonnc	553.01	419.7	728.57	903.8	368.22	639.48	633.25	505.22	436.05	786.4	653.31	589.89	254.47	802.8	763.72	811.65	818.03	462.14	173.53	747.64	315.36	201.09	630.1	656.02	926.05	867.33	336.23	436.79	555.87	205.3	974.49	872.53	730.66	645.1	208.82	686.65	770.37	622.34	599.35	867.69	304.67	746.3	3020.72	784.47	0.0	533.93	758.23	473.22	576.5	409.54	128.97	418.7	697.51	623.97	153.84	298.04	756.81	377.03	297.81	955.63	447.37	766.2	931.5	460.98	931.18	801.41	693.39	854.44	382.69	736.56	428.01	3041.5	762.7	644.27	364.17	788.62	706.72	462.32	670.99	520.89	823.47	608.1	577.53	769.06	790.38	578.38	754.11	280.62	423.71	853.66	901.45	248.36	533.95	76.89	902.28	459.69	682.25	601.08	876.34	990.53	308.38	582.36	416.06	504.29	662.05	940.42	561.83	733.35	376.97	798.88	1038.49	731.06	735.02	900.31	839.25	378.7	736.91	335.84	817.62	359.49	651.33	879.37	723.6	256.82	353.71	764.02	1029.12	795.35	400.74	
trentonnj	75.95	470.65	266.49	379.98	760.1	558.83	1072.0	35.6	448.62	262.57	685.48	66.07	306.03	282.51	1202.47	603.25	294.21	129.33	612.63	548.76	222.87	569.8	106.04	131.96	402.23	690.37	639.7	875.54	90.69	479.13	450.67	345.7	207.29	591.97	648.46	667.54	246.22	653.68	137.35	670.34	744.81	352.56	2860.64	260.73	533.93	0.0	234.64	61.72	211.08	130.23	447.53	808.95	450.38	647.34	427.81	638.43	662.55	181.35	322.88	431.81	480.34	638.15	734.16	74.06	407.36	277.59	691.83	328.78	159.99	387.22	199.43	2880.64	812.99	675.97	168.75	1227.37	182.66	87.98	146.93	915.79	297.16	488.03	52.12	245.33	266.56	1017.13	230.29	719.05	129.92	327.01	377.63	348.51	437.12	601.73	378.46	111.46	158.2	324.12	352.52	793.19	666.28	58.3	218.39	33.15	427.32	1379.17	25.61	209.53	170.59	601.53	841.15	207.24	211.2	376.49	316.36	164.69	274.83	696.95	723.12	176.21	127.27	355.55	433.03	278.44	506.31	239.17	505.3	712.32	839.94	
northkingstownri	267.19	698.39	328.52	312.75	981.76	795.74	1296.3	264.86	676.05	84.83	911.45	168.84	530.33	128.54	1426.77	723.93	200.17	353.64	836.93	725.63	447.18	794.1	130.37	131.23	210.41	867.24	866.02	1099.85	294.36	703.43	258.86	153.89	31.54	832.7	872.76	908.27	23.21	879.65	272.84	769.09	969.05	409.23	3037.51	38.07	758.23	234.64	0.0	292.82	402.64	354.53	671.84	1032.89	627.25	888.07	652.11	862.73	899.46	405.65	547.18	239.99	708.03	811.52	853.87	298.37	215.54	100.35	932.56	139.45	384.3	472.19	417.53	3057.51	1053.72	901.93	393.05	1451.68	76.21	312.29	91.46	1140.78	107.83	725.85	185.19	10.79	88.82	1241.44	111.16	945.0	354.22	135.2	185.81	572.82	670.3	826.03	251.7	335.77	104.05	535.31	287.72	882.72	890.58	180.21	438.11	261.4	603.59	1603.47	204.92	106.88	394.89	778.4	930.68	109.0	190.71	249.73	126.45	388.99	257.27	921.25	922.71	400.51	108.25	288.32	559.78	502.74	734.4	16.51	313.49	949.23	1065.12	
wilmingtonde	80.39	426.38	270.92	439.52	696.22	532.24	1011.29	32.34	404.04	322.12	640.05	125.62	245.32	342.06	1141.76	576.67	353.75	68.51	551.92	522.18	162.17	509.09	164.68	190.61	461.77	663.79	579.0	814.84	85.45	418.42	510.21	405.25	265.24	565.39	587.75	640.95	304.95	608.25	141.78	643.76	683.51	356.99	2838.98	319.06	473.22	61.72	292.82	0.0	184.5	74.51	386.83	747.35	423.79	610.11	367.1	577.72	635.96	119.42	262.17	491.35	436.02	611.56	707.57	14.4	466.9	337.13	680.2	388.32	99.66	391.65	146.6	2859.76	801.64	630.54	107.78	1166.66	241.31	27.48	205.57	855.24	356.7	461.45	112.12	303.65	326.11	956.42	289.83	659.46	69.61	386.55	437.17	287.8	398.29	541.02	438.01	51.38	216.84	297.53	412.06	766.6	605.57	116.94	166.3	32.23	400.73	1318.46	87.92	269.07	109.38	574.95	814.56	266.79	270.74	436.03	375.9	103.74	279.26	636.24	696.54	115.5	185.91	415.09	393.8	217.73	445.6	298.61	564.84	685.73	779.58	
statecollegepa	164.41	323.03	239.95	481.73	706.24	396.64	1114.56	195.91	300.68	426.8	541.97	236.14	421.09	444.9	1245.04	395.17	410.51	231.03	649.06	340.68	265.44	526.02	274.51	282.29	566.45	482.29	572.44	918.11	253.53	440.4	614.89	509.93	375.07	429.78	611.16	505.35	414.78	510.17	149.6	462.26	780.2	239.71	2654.34	420.8	576.5	211.08	402.64	184.5	0.0	164.84	490.1	757.37	242.29	485.15	470.38	586.79	500.36	281.95	365.45	596.03	332.66	426.57	526.07	165.75	571.58	441.81	529.64	493.0	262.19	201.69	104.8	2675.12	650.8	532.46	211.96	1269.94	338.44	191.36	315.4	865.26	461.38	325.85	236.3	413.47	430.79	1059.7	392.68	683.24	156.26	491.23	541.85	391.08	294.93	636.59	477.07	213.91	308.52	139.66	454.27	585.1	614.88	226.93	159.37	191.55	218.64	1421.74	229.08	371.92	195.45	393.45	633.06	369.63	337.01	475.1	480.58	198.94	260.17	646.56	537.76	212.3	295.74	457.3	212.37	321.0	394.68	408.43	669.52	550.13	803.36	
baltimoremd	153.89	355.05	331.91	505.39	632.78	474.73	947.61	101.51	332.71	387.98	569.77	191.48	254.13	407.92	1078.08	526.49	419.62	95.98	488.24	472.0	98.48	445.41	226.39	252.31	527.64	613.61	508.71	751.15	152.17	354.74	576.08	471.11	326.95	507.88	524.07	583.44	366.66	537.97	200.67	593.58	620.07	349.63	2783.88	380.77	409.54	130.23	354.53	74.51	164.84	0.0	323.14	683.92	373.62	539.83	303.42	514.04	578.45	146.88	198.49	557.22	364.68	561.39	657.4	62.39	532.77	403.0	609.92	454.18	119.85	369.11	75.27	2803.88	731.35	560.26	40.18	1102.98	303.01	85.77	267.28	791.8	422.56	403.94	173.82	365.36	391.97	892.74	355.7	596.02	14.63	452.42	503.04	224.12	326.95	477.34	503.87	93.5	278.55	247.36	477.93	716.43	541.89	178.65	94.97	105.74	350.56	1254.78	158.13	334.94	39.6	524.77	764.39	332.65	336.61	501.9	441.77	33.7	340.25	572.56	639.03	47.64	247.62	480.96	369.98	154.05	375.75	360.32	630.71	628.22	716.14	
raleighnc	466.61	291.02	642.98	818.21	354.16	510.8	650.94	418.82	307.36	700.8	524.63	504.3	202.0	716.4	781.41	682.9	732.43	375.74	191.49	618.95	228.96	165.95	543.7	569.62	840.45	738.64	247.04	454.49	469.47	76.62	888.9	786.13	644.26	516.41	226.78	557.97	683.97	493.66	512.96	738.94	322.62	660.7	2892.03	698.07	128.97	447.53	671.84	386.83	490.1	323.14	0.0	405.3	568.82	495.28	25.15	234.72	628.13	324.56	211.41	870.03	318.68	637.52	802.75	374.58	845.59	715.82	564.7	768.05	330.22	650.96	341.62	2912.81	687.38	515.58	277.77	806.32	620.32	375.92	584.59	513.18	737.08	479.42	491.13	682.67	704.79	596.08	668.52	298.57	337.32	767.26	815.85	195.89	405.27	179.02	816.7	373.29	595.86	502.49	790.75	861.78	262.81	495.96	329.66	417.89	533.36	958.11	475.44	647.76	290.57	670.13	909.74	645.48	649.43	814.72	752.85	292.31	651.32	294.49	688.93	273.09	564.93	793.78	623.24	170.42	225.03	677.63	943.53	666.66	418.69	
atlantaga	793.72	473.92	963.1	1180.06	72.07	513.93	455.9	780.23	490.27	1060.83	394.38	864.33	581.17	1080.77	639.78	722.43	1094.29	735.7	268.35	661.84	588.05	244.82	905.11	931.04	1200.48	676.15	197.93	345.65	830.89	331.6	1248.93	1143.96	1005.55	460.7	213.99	443.68	1044.48	382.39	831.86	778.47	248.34	961.77	2656.64	1058.99	418.7	808.95	1032.89	747.35	757.37	683.92	405.3	0.0	709.62	412.42	382.38	175.85	534.18	703.71	556.88	1230.06	501.66	638.78	789.43	735.24	1205.61	1075.84	421.24	1127.03	709.22	896.86	642.44	2676.64	398.93	407.05	638.19	662.63	981.74	735.68	946.0	107.19	1095.41	567.58	852.55	1043.59	1064.82	438.78	1028.55	145.04	694.99	1125.27	1175.88	576.27	582.39	361.85	1176.72	733.22	957.27	684.54	1152.6	883.98	145.4	857.37	622.53	778.58	692.23	820.19	836.85	1007.79	649.8	709.66	931.45	1005.5	1011.28	1174.75	1114.62	652.42	971.44	124.33	597.32	633.63	926.34	1155.63	806.32	530.4	408.06	1037.42	1303.56	515.29	83.86	
clevelandoh	402.61	297.81	334.17	582.56	701.31	211.45	1092.27	435.21	320.81	623.51	349.33	462.54	573.26	566.6	1222.74	168.83	540.92	457.11	624.09	114.34	417.61	514.24	499.11	506.89	763.16	256.33	543.64	895.82	492.83	494.65	811.6	706.85	599.67	248.42	606.24	323.98	633.85	331.16	374.24	235.92	765.28	258.73	2432.23	621.38	697.51	450.38	627.25	423.79	242.29	373.62	568.82	709.62	0.0	303.79	545.9	581.86	316.4	507.34	517.61	792.74	251.54	204.06	299.73	405.85	768.29	638.52	348.28	616.53	480.99	193.82	302.55	2453.01	466.93	327.63	367.82	1247.64	563.04	445.51	540.0	813.63	657.79	141.56	460.9	638.07	627.5	1037.4	570.02	678.31	376.99	687.97	738.56	543.25	175.6	678.38	607.48	454.65	533.12	132.88	555.83	358.76	609.95	451.54	315.22	431.19	38.71	1399.44	462.79	556.42	351.3	167.11	406.72	554.05	477.74	605.51	673.56	362.65	421.17	641.63	318.14	385.09	520.34	558.86	102.56	473.17	357.2	645.38	866.24	366.1	792.65	
cynthianaky	620.15	223.55	631.96	880.35	434.36	110.64	864.34	642.11	263.73	921.3	52.98	707.22	598.28	864.62	1048.23	319.69	838.71	623.32	517.99	258.76	488.76	427.38	759.93	767.71	1060.95	309.48	312.8	743.76	692.76	421.11	1109.39	1004.87	860.49	56.56	463.96	86.32	900.2	28.49	635.07	375.73	616.63	556.52	2441.92	919.4	623.97	647.34	888.07	610.11	485.15	539.83	495.28	412.42	303.79	0.0	472.36	373.95	176.01	673.55	542.63	1090.53	177.28	235.52	412.41	597.87	1066.08	936.31	93.05	914.55	647.21	491.61	468.76	2462.71	211.51	39.65	534.03	1071.08	823.87	611.72	800.82	516.44	955.81	162.0	698.54	898.9	925.29	847.22	867.81	488.34	543.2	985.99	1036.35	568.27	207.5	611.83	905.27	620.86	793.94	344.38	853.62	498.58	368.58	696.36	481.43	628.15	287.35	1228.64	672.1	854.21	517.52	306.92	546.54	851.84	775.53	903.3	971.59	528.86	718.96	395.17	238.83	517.25	781.16	856.65	400.58	493.29	282.94	893.86	1164.02	195.01	495.45	
durhamnc	446.89	268.1	622.82	798.05	331.25	487.88	675.35	399.1	284.45	680.64	501.71	484.15	201.96	696.68	805.82	660.79	712.27	356.02	215.86	596.03	209.24	145.35	523.98	549.9	820.3	715.72	225.3	479.84	449.75	54.68	868.74	766.41	624.54	493.49	233.96	535.05	664.24	470.74	493.23	716.83	347.0	640.54	2869.11	678.35	153.84	427.81	652.11	367.1	470.38	303.42	25.15	382.38	545.9	472.36	0.0	211.8	605.21	324.52	195.92	849.87	295.76	614.6	780.64	354.86	825.42	695.65	541.79	748.32	330.18	630.8	321.89	2889.9	664.46	492.66	258.05	830.73	600.6	356.2	564.87	490.27	717.35	456.5	471.41	662.94	684.63	620.49	648.36	306.03	317.59	747.53	795.7	195.85	382.35	203.4	796.53	353.57	576.13	479.57	770.59	839.67	239.89	476.23	309.94	398.17	510.45	982.52	455.71	627.6	270.85	648.02	887.63	625.31	629.27	794.56	733.13	272.58	631.16	271.57	666.02	253.37	545.21	773.62	600.32	150.7	202.11	657.9	923.37	643.74	426.15	
spartanburgsc	623.14	302.27	792.52	1009.48	124.72	475.47	573.41	609.72	318.61	890.25	355.92	693.75	410.6	910.19	703.88	683.97	923.71	566.64	141.23	623.38	417.47	74.25	734.6	760.52	1029.91	666.14	69.04	376.96	660.37	161.03	1078.35	973.38	835.16	422.23	93.03	409.71	874.87	343.92	661.28	740.01	245.85	791.06	2758.44	888.97	298.04	638.43	862.73	577.72	586.79	514.04	234.72	175.85	581.86	373.95	211.8	0.0	528.56	535.14	386.3	1059.49	329.93	600.32	776.68	565.48	1035.03	905.26	418.25	956.45	540.8	726.15	472.67	2779.22	501.99	368.59	468.67	728.78	811.22	566.82	775.49	283.74	924.83	492.22	682.03	873.56	894.24	518.54	857.97	117.57	528.21	954.69	1005.31	405.69	416.52	241.19	1006.14	564.19	786.75	513.96	982.02	862.85	31.39	686.86	452.2	608.0	545.45	880.58	666.33	837.21	481.47	671.2	910.81	834.92	840.7	1004.17	944.04	483.2	800.86	65.04	591.71	463.05	755.83	985.05	635.11	359.82	236.27	868.52	1132.98	519.15	216.06	
indianapolisin	622.49	357.09	643.99	892.38	592.29	117.22	988.58	647.38	397.27	933.33	164.88	710.09	731.13	875.82	1172.46	286.46	850.74	661.94	672.6	225.87	592.82	573.55	771.32	779.1	1072.98	147.08	471.24	878.34	705.0	553.96	1121.43	1016.46	871.88	112.3	618.57	131.19	911.59	189.44	646.46	289.78	781.92	568.56	2266.18	930.79	756.81	662.55	899.46	635.96	500.36	578.45	628.13	534.18	316.4	176.01	605.21	528.56	0.0	712.17	675.48	1102.56	310.83	124.62	260.37	636.49	1078.11	948.34	114.95	926.45	685.83	503.64	507.38	2286.96	168.95	166.18	572.65	1195.31	835.25	650.34	812.21	638.19	967.91	175.32	700.88	910.29	937.32	971.46	879.85	679.67	581.82	997.77	1048.38	701.11	287.11	737.67	917.3	659.49	805.33	359.59	865.66	354.91	523.2	698.7	520.05	643.36	299.01	1352.88	687.31	866.24	556.14	265.89	402.38	863.88	787.56	915.33	987.12	567.48	730.99	549.78	63.08	587.47	792.55	868.69	411.97	626.14	416.48	905.25	1176.06	50.74	617.21	
oceancitymd	198.81	465.21	389.34	550.3	652.57	608.45	949.02	152.63	466.21	432.89	703.49	236.39	140.77	452.83	1079.49	660.21	464.53	51.02	489.65	605.72	201.32	466.51	277.51	303.43	572.55	747.33	546.46	752.57	99.81	375.84	620.99	516.02	378.07	641.6	525.48	717.16	417.78	671.69	260.2	727.3	620.51	475.41	2917.6	431.89	377.03	181.35	405.65	119.42	281.95	146.88	324.56	703.71	507.34	673.55	324.52	535.14	712.17	3007.93	178.48	602.13	498.19	695.11	791.12	117.5	577.68	447.91	743.64	499.1	20.09	510.07	208.77	2937.6	865.08	693.98	145.51	1104.4	354.13	94.39	318.4	811.59	467.47	537.66	224.94	416.48	436.88	894.16	400.61	596.46	158.3	497.33	547.95	148.85	460.46	478.75	548.78	70.67	329.67	381.08	522.84	850.15	562.98	229.77	228.47	150.65	484.28	1256.19	209.25	379.85	158.24	658.49	898.11	377.56	381.52	546.81	486.68	148.54	397.68	593.66	772.75	154.65	298.74	525.87	503.7	225.14	490.91	411.44	675.62	761.95	716.58	
williamsburgva	341.95	309.99	517.97	693.2	505.75	558.15	835.88	294.16	310.83	575.8	571.98	379.29	59.32	591.75	966.35	667.74	607.43	215.04	375.68	613.63	103.01	337.91	419.04	444.97	715.45	756.04	417.86	639.42	344.82	247.24	763.89	661.48	519.61	563.76	410.98	605.32	559.31	541.01	388.3	734.82	506.82	535.7	2931.93	573.42	297.81	322.88	547.18	262.17	365.45	198.49	211.41	556.88	517.61	542.63	195.92	386.3	675.48	178.48	0.0	745.03	366.03	684.87	798.64	249.92	720.58	590.81	612.06	643.39	184.14	525.96	216.96	2952.72	730.51	562.93	153.11	991.25	495.67	251.27	459.93	664.77	612.42	526.77	366.48	558.01	579.78	781.01	543.51	482.77	212.66	642.6	690.85	29.31	452.62	363.21	691.68	248.63	471.2	390.03	665.74	857.67	414.39	371.3	205.01	293.24	494.84	1143.05	350.78	522.75	165.92	666.02	905.63	520.46	524.42	689.71	628.2	167.65	526.31	446.07	736.29	148.59	440.27	668.77	512.55	51.6	335.69	552.97	818.52	714.01	602.89	
augustame	466.35	895.44	464.6	219.46	1178.93	998.41	1496.68	462.03	873.1	178.5	1110.02	368.45	730.73	210.92	1627.16	862.57	266.24	551.22	1035.08	905.21	644.2	990.72	328.74	311.54	36.01	1047.62	1064.42	1300.23	491.53	901.38	22.78	104.07	259.61	1035.4	1070.37	1110.98	217.27	1079.05	449.7	907.73	1166.22	545.31	3223.51	206.0	955.63	431.81	239.99	491.35	596.03	557.22	870.03	1230.06	792.74	1090.53	849.87	1059.49	1102.56	602.13	745.03	0.0	905.07	995.35	989.95	497.11	34.0	170.75	1134.56	163.99	582.37	610.84	615.96	3244.3	1253.1	1114.31	590.5	1652.06	254.13	510.19	290.39	1337.95	165.93	929.08	382.36	231.49	182.52	1441.82	228.81	1142.17	552.32	106.37	55.88	770.01	867.35	1022.61	179.53	534.09	284.35	729.2	219.47	1021.36	1087.58	377.38	635.15	459.67	815.0	1803.86	402.09	242.96	592.09	902.52	1066.76	245.07	329.36	179.72	148.81	586.45	393.35	1119.25	1109.42	598.01	306.48	220.07	695.87	701.04	931.45	228.8	75.61	1152.26	1262.29	
charlestonwv	444.08	47.01	569.37	830.42	450.53	192.77	842.13	466.9	64.73	735.84	207.22	531.61	421.68	755.78	972.6	365.27	744.65	447.29	373.32	304.68	312.16	264.1	578.16	597.48	875.49	420.1	293.5	645.68	517.55	244.51	923.94	818.97	680.69	198.39	355.44	238.84	719.61	175.42	479.21	421.31	514.5	493.94	2576.04	734.12	447.37	480.34	708.03	436.02	332.66	364.68	318.68	501.66	251.54	177.28	295.76	329.93	310.83	498.19	366.03	905.07	0.0	319.7	485.12	423.9	880.62	750.85	247.37	802.04	471.16	429.02	292.8	2596.03	368.81	197.71	338.45	997.5	652.52	447.28	619.05	609.55	770.42	161.9	523.33	718.72	739.83	787.26	703.56	427.53	368.24	800.27	850.89	391.67	81.49	427.91	811.21	444.81	623.71	227.28	802.96	544.15	357.77	521.15	305.39	467.25	215.13	1149.3	508.83	682.8	341.94	352.5	592.12	680.51	661.64	809.24	789.63	354.13	589.79	388.45	371.4	341.64	599.39	805.99	338.49	316.69	106.14	712.56	978.57	348.27	547.65	
fortwaynein	586.89	365.96	536.77	778.23	660.72	126.61	1093.86	622.98	406.14	826.11	286.12	648.7	740.52	768.61	1277.75	162.57	743.52	644.87	692.25	101.98	603.76	582.94	683.38	691.16	965.77	90.41	542.32	973.28	680.6	563.35	1014.21	909.24	783.95	179.08	674.39	252.43	823.65	260.52	558.52	166.57	833.43	461.34	2249.81	824.4	766.2	638.15	811.52	611.56	426.57	561.39	637.52	638.78	204.06	235.52	614.6	600.32	124.62	695.11	684.87	995.35	319.7	0.0	174.12	593.62	970.9	841.13	236.18	819.23	668.76	396.43	490.32	2270.59	292.48	256.99	555.58	1300.6	747.32	633.28	724.27	742.8	860.7	155.03	645.17	822.35	830.1	1076.75	772.63	714.7	564.75	890.55	941.17	710.5	274.94	746.54	810.08	642.42	717.4	320.64	758.44	268.88	594.95	635.81	502.99	618.96	211.09	1458.16	647.06	759.03	539.07	142.0	316.35	756.66	680.34	808.11	879.9	550.42	623.77	621.54	113.98	571.24	704.61	761.47	305.58	635.53	425.35	817.31	1068.84	174.26	721.82	
grandrapidsmi	686.39	531.39	530.99	748.68	847.55	302.13	1245.1	718.99	567.68	820.73	419.86	745.21	853.71	763.62	1429.59	156.99	735.48	740.88	857.67	186.56	697.8	748.89	782.89	790.67	960.23	113.83	718.45	1134.87	776.61	728.06	939.41	903.87	883.45	355.64	839.82	385.09	830.87	437.16	658.02	94.08	998.86	455.69	2263.3	818.4	931.5	734.16	853.87	707.57	526.07	657.4	802.75	789.43	299.73	412.41	780.64	776.68	260.37	791.12	798.64	989.95	485.12	174.12	0.0	689.63	967.23	838.84	368.6	813.55	764.77	385.71	586.33	2284.08	428.22	420.15	651.6	1453.12	779.19	729.29	823.78	893.45	854.81	322.67	744.68	864.0	825.54	1226.94	766.78	911.89	660.77	884.99	935.35	823.62	435.83	911.97	812.82	738.43	816.9	416.65	777.52	95.58	771.31	735.31	599.0	714.97	323.24	1609.24	746.57	752.74	635.08	132.0	141.97	751.54	674.52	819.58	870.58	646.43	618.29	797.9	232.52	659.59	804.12	774.05	401.59	754.65	590.78	842.4	981.47	310.01	872.47	
newarkde	93.79	414.27	284.32	445.28	684.11	532.77	999.04	45.35	391.93	327.87	627.81	131.37	243.7	347.81	1129.51	558.73	359.51	66.59	539.68	504.24	149.92	496.85	170.23	196.15	467.53	645.85	566.75	802.59	96.0	406.18	515.97	411.0	270.79	565.91	575.51	641.48	310.5	596.0	155.18	625.82	671.39	370.39	2821.95	324.61	460.98	74.06	298.37	14.4	165.75	62.39	374.58	735.24	405.85	597.87	354.86	565.48	636.49	117.5	249.92	497.11	423.9	593.62	689.63	0.0	472.66	342.89	667.96	394.08	97.75	370.02	134.49	2842.74	789.39	618.29	95.67	1154.42	246.85	17.67	211.12	843.13	362.46	461.98	117.66	309.2	331.86	944.18	295.59	647.34	57.5	392.31	442.93	275.56	386.18	528.77	443.76	49.47	222.39	279.59	417.82	748.66	593.32	122.49	154.19	45.63	382.79	1306.22	101.97	274.83	97.26	557.01	796.62	272.54	276.5	441.79	381.66	91.63	292.66	624.0	697.06	103.25	191.46	420.85	375.05	205.48	433.49	304.16	570.6	686.26	767.46	
lewistonme	441.89	870.99	441.87	200.82	1154.48	973.96	1473.96	437.58	848.65	155.77	1085.57	345.73	706.28	186.47	1604.43	837.28	243.52	526.76	1010.63	880.76	619.74	966.27	304.28	287.09	20.75	1023.17	1039.97	1277.51	467.08	876.93	54.31	79.62	235.16	1010.95	1045.92	1086.53	192.82	1054.6	425.25	882.44	1141.77	522.59	3199.06	181.55	931.18	407.36	215.54	466.9	571.58	532.77	845.59	1205.61	768.29	1066.08	825.42	1035.03	1078.11	577.68	720.58	34.0	880.62	970.9	967.23	472.66	0.0	148.03	1110.11	139.54	557.92	585.55	591.5	3219.85	1228.65	1089.86	566.04	1629.33	229.68	485.74	265.94	1313.5	141.48	904.63	357.91	207.04	159.8	1419.09	206.09	1117.72	527.87	81.92	36.18	745.56	842.89	998.16	160.89	509.64	259.9	704.75	200.83	996.07	1063.13	352.93	610.7	435.22	790.55	1781.13	377.64	220.23	567.64	879.79	1044.03	222.35	304.07	161.08	124.36	562.0	370.62	1094.8	1084.97	573.55	282.03	201.43	671.42	676.59	907.0	204.35	108.27	1127.81	1237.84	
pepperellma	312.13	741.22	310.65	218.01	1024.71	844.19	1345.57	307.81	718.88	16.27	955.8	213.83	576.51	45.91	1476.04	708.9	119.3	397.0	880.86	750.99	489.97	836.5	174.52	157.32	141.03	893.4	910.2	1149.12	337.31	747.16	191.07	69.01	108.19	881.18	916.15	956.76	77.62	924.83	295.48	754.06	1012.0	390.85	3069.29	55.9	801.41	277.59	100.35	337.13	441.81	403.0	715.82	1075.84	638.52	936.31	695.65	905.26	948.34	447.91	590.81	170.75	750.85	841.13	838.84	342.89	148.03	0.0	980.34	43.09	428.15	456.3	461.73	3090.08	1098.88	960.09	436.27	1500.95	99.91	355.97	136.17	1183.73	12.13	774.86	228.14	110.47	15.38	1290.71	69.34	987.95	398.1	65.79	116.15	615.79	713.12	868.39	156.97	379.87	130.13	574.98	192.99	867.68	933.36	223.16	480.93	305.45	660.78	1652.74	247.87	88.68	437.87	751.41	915.64	90.77	172.43	154.99	27.9	432.23	238.98	965.03	955.2	443.79	152.26	193.58	541.65	546.82	777.23	89.16	245.03	998.04	1108.07	
louisvilleky	651.77	293.64	675.99	924.38	479.36	152.76	875.31	676.66	333.82	965.33	53.37	738.29	667.7	909.11	1059.2	361.22	882.74	693.41	562.29	300.87	558.19	474.32	804.42	812.2	1104.98	257.37	359.74	765.07	734.28	490.53	1153.42	1049.36	904.98	99.91	508.26	25.34	944.69	77.94	679.56	398.02	668.99	600.55	2380.86	963.89	693.39	691.83	932.56	680.2	529.64	609.92	564.7	421.24	348.28	93.05	541.79	418.25	114.95	743.64	612.06	1134.56	247.37	236.18	368.6	667.96	1110.11	980.34	0.0	959.04	717.3	535.64	538.85	2401.64	119.37	54.68	604.12	1082.04	868.36	681.81	845.31	525.26	1000.3	206.49	730.16	943.39	969.32	858.19	911.84	566.74	613.29	1030.48	1080.38	637.69	289.57	656.13	949.3	690.95	838.43	388.87	897.65	463.15	412.89	727.98	551.52	672.64	331.84	1239.61	716.58	898.24	587.6	348.45	510.62	895.87	819.56	947.33	1016.08	598.95	762.99	439.47	177.76	586.67	825.65	900.68	445.07	562.72	353.03	938.35	1208.06	105.4	504.28	
concordnh	363.31	792.41	288.2	176.88	1075.9	822.22	1392.51	359.0	770.07	74.32	960.09	264.27	626.54	51.21	1522.98	683.61	106.44	448.18	932.05	730.17	543.38	890.31	225.7	208.51	134.41	871.51	959.96	1196.05	388.5	799.64	182.85	35.18	159.07	859.19	967.34	934.75	116.73	941.92	346.66	728.76	1063.19	368.91	3047.4	102.97	854.44	328.78	139.45	388.32	493.0	454.18	768.05	1127.03	616.53	914.55	748.32	956.45	926.45	499.1	643.39	163.99	802.04	819.23	813.55	394.08	139.54	43.09	959.04	0.0	479.34	431.87	512.92	3068.18	1076.98	938.39	487.46	1547.88	151.1	407.16	187.36	1234.92	34.48	752.33	279.33	137.96	56.49	1337.64	95.78	1039.13	449.29	58.42	109.81	669.02	764.31	919.58	115.83	431.06	181.32	626.17	151.85	842.39	984.54	274.35	532.12	356.64	638.88	1699.68	299.06	127.22	489.06	726.12	890.35	126.69	141.9	113.86	17.89	483.42	216.94	1016.22	933.31	496.72	203.45	152.45	519.76	598.95	828.42	128.26	237.48	976.15	1159.26	
